"id","period","userperiod","round","instructions","byear","gender","race","ideo1","ideo2","ideo3","ideo4","ideo5","ideo6","ideo7","ideo8","ideo9","ideo10","sp","ideo_test","noise","ideology","ideology.noise","mg","group","group_id","prop1","prop2","prop3","offer","vote","vote_result","pd1.1","pd1.2","pd1.3","offer_pd1","pd2.1","pd2.2","pd2.3","offer_pd2","earnings","payment","pay_period","select_period","select_earn","payoffdictator","final_earnings","demand","comment","session","treatment","treat_inst","uni","type_student","startyear","degree","nationality","expts","t_expts","moveon","IP","client","seat"
1,1,1,0,NA,"1975","female","white","1","-2","0","-2","-1","2","2","2","0","-2",1,"1",-0.214590664487332,1,0.785409335512668,1,1.1,1,NA,NA,NA,NA,NA,NA,17,0,0,"pd1.3",NA,NA,NA,NA,5,1,1,37,8,NA,13,"how groups of people who don't know each other co-operate or perform selfishly.","I really enjoyed this experiment, although the waiting between each part was a bit frustrating. ","GRIexpt-2015-05-22-100318","2Dictator","Read","1","2",NA," BSc Psychology","United Kingdom","1","5","Next","155.245.28.9","cl-3",NA
6,1,1,0,NA,"1992","female","white","-2","-1","1","0","-1","2","1","1","-1","0",8,"2",-0.48451281497255,8,7.51548718502745,1,1.1,2,NA,NA,NA,NA,NA,NA,5.6,5.8,5.6,"pd1.3",NA,NA,NA,NA,5,1,1,7,8,NA,13," Based on the questions before the start of the experiment, i think it was about equality and fairness. With political and marriage rights as some of the questions regarding equality, i believe it was to see how your personality (left or right) determines your fairness in dividing up money. "," I think it was a cool experiment. It was neat to see that as soon as people were not allowed to vote, personal values went much higher and people became more greedy. Once a vote was allowed, there was much more equality and fairness","GRIexpt-2015-05-22-100318","2Dictator","Read","1","1",NA," MSc. Cardiac Rehabilitation","Canada","1","3","Next","155.245.28.41","cl-1",NA
8,1,1,0,NA,"1959","male","white","2","-2","2","-2","2","0","2","2","1","-1",2,"1",0.361213878076523,2,2.36121387807652,1,1.1,3,NA,NA,NA,NA,NA,NA,5,5,7,"pd1.3",NA,NA,NA,NA,7,1,1,47,4,NA,9," Wealth distribution."," A bit over-long. By the last few rounds I was starting to become a bit disinterested.","GRIexpt-2015-05-22-100318","2Dictator","Read","0","0",NA," ","United Kingdom","1","3","Next","155.245.28.17","cl-11",NA
4,1,1,0,NA,"1996","female","white","-1","-2","0","-2","-1","2","0","-1","1","0",7,"2",0.331272452138364,7,7.33127245213836,1,1.2,1,NA,NA,NA,NA,NA,NA,6,5.4,5.6,"pd1.1",NA,NA,NA,NA,6,1,1,18,2.9,NA,7.9," How people would divide money according to their looks and political views","It was interesting and it shows how people and their views can change if they would get more money than overs ","GRIexpt-2015-05-22-100318","2Dictator","Read","1","2",NA," Business Management with Modern Languages","Lithuania","1","1","Next","155.245.28.18","cl-12",NA
5,1,1,0,NA,"1995","male","white","-2","0","-2","1","-1","2","-1","0","2","1",7,"2",0.6241646414157,7,7.6241646414157,1,1.2,2,NA,NA,NA,NA,NA,NA,5,5,7,"pd1.1",NA,NA,NA,NA,5.4,1,1,17,5,NA,10,"In the end when it came to allocating the amounts I felt it was more to do with the difference between the left and right in terms of how much the right would allocate the left and whether they give them a bit more to try and avoid each side screwing one another over completely.   "," Very interesting and required a lot thinking. ","GRIexpt-2015-05-22-100318","2Dictator","Read","1","2",NA," BA International Relations ","United Kingdom","1","1","Next","155.245.28.10","cl-4",NA
7,1,1,0,NA,"1992","female","white","-2","-2","1","1","1","2","2","0","2","2",6,"2",0.460786324180663,6,6.46078632418066,1,1.2,3,NA,NA,NA,NA,NA,NA,3.5,3.5,10,"pd1.1",NA,NA,NA,NA,5.6,1,1,17,5,NA,10," whether the participants on the similar page of political view would come together in order to get more money on cost of the third participant "," It was a clever experiment, where you had the chance to be the person gaining most money, or be put in position where you were the one who got the least, and vote was not counted due to other two participants working together to get more for themselves. Puts your ideas about whats fair to a test. ","GRIexpt-2015-05-22-100318","2Dictator","Read","1","2",NA," Bsc Psychology","Norway","1","10","Next","155.245.28.8","cl-2",NA
2,1,1,0,NA,"1996","male","white","1","-2","0","-1","-2","2","2","-2","2","-1",2,"2",-0.484402639511973,2,1.51559736048803,2,2.1,1,NA,NA,NA,NA,NA,NA,17,0,0,"pd1.3",NA,NA,NA,NA,10,1,1,7,5.6,NA,10.6," Seeing how Participants from left/right wing view cooperated in order to gain advantage of having a higher income. That and what kind of people vote in certain ways in disputes on how to split money between people."," Enjoyed it. I think if more money was offered to be split the outcome may have changed.","GRIexpt-2015-05-22-100318","2Dictator","Read","1","2",NA,"Sport and Exercise Science ","United Kingdom","1","3","Next","155.245.28.24","cl-18",NA
11,1,1,0,NA,"1995","female","black","0","-2","-2","0","-1","0","2","1","0","-1",6,"2",-0.587136048916727,6,5.41286395108327,2,2.1,2,NA,NA,NA,NA,NA,NA,5.6,5.7,5.7,"pd1.3",NA,NA,NA,NA,7,1,1,37,7,NA,12," If people would think of the needs of others as well as themselves or just put their own needs above the rest."," At first i was splitting the <a3>17 equally but as i got to about round 6, i started to realise that no one was thinking about everyone else, so why was I. Towards the end i started favouring myself much more and it shows that everyone will always put their own needs before others especially when it comes to money.","GRIexpt-2015-05-22-100318","2Dictator","Read","1","2",NA," Biological Sciences","United Kingdom","0","0","Next","155.245.28.15","cl-9",NA
12,1,1,0,NA,"1994","female","white","-1","0","-2","0","-1","2","2","0","-2","-1",6,"2",-0.0388958843424916,6,5.96110411565751,2,2.1,3,NA,NA,NA,NA,NA,NA,10,7,0,"pd1.3",NA,NA,NA,NA,0,1,1,42,5,NA,10," The link between money and people's choice when they have chance to earn some, psychological experiment. "," At the beginning I was really confused about what I was supposed to do. But at the end it is interesting to see how we react when we have a chance of earning money.","GRIexpt-2015-05-22-100318","2Dictator","Read","1","2",NA," LLB ENGLISH AND FRENCH LAW","France","1","2","Next","155.245.28.13","cl-7",NA
3,1,1,0,NA,"1991","female","white","1","-2","1","-1","-1","2","1","1","-1","0",2,"2",-0.421572941867635,2,1.57842705813237,2,2.2,1,NA,NA,NA,NA,NA,NA,5.7,5.7,5.6,"pd1.3",NA,NA,NA,NA,5.8,1,1,1,5.8,NA,10.8," Sharing wealth as equally as possible."," It was fun.","GRIexpt-2015-05-22-100318","2Dictator","Read","1","1",NA," MA Translation, Interpreting and Subtitling","Italy","1","5","Next","155.245.28.11","cl-5",NA
9,1,1,0,NA,"1994","female","white","2","-2","1","-1","-1","2","2","-1","-2","-1",5,"2",0.141227132454514,5,5.14122713245451,2,2.2,2,NA,NA,NA,NA,NA,NA,0,17,0,"pd1.3",NA,NA,NA,NA,5.8,1,1,1,5.8,NA,10.8," Greed and social justice.","I was surprised many participants did not seek to maximize their profit when they had the opportunity.","GRIexpt-2015-05-22-100318","2Dictator","Read","1","2",NA," International Relations and Modern Languages","Bulgaria","1","3","Next","155.245.28.16","cl-10",NA
10,1,1,0,NA,"1994","female","white","-2","-1","0","0","-1","2","2","0","0","0",3,"2",-0.166516817454249,3,2.83348318254575,2,2.2,3,NA,NA,NA,NA,NA,NA,5.8,5.8,5.4,"pd1.3",NA,NA,NA,NA,5.4,1,1,47,5,NA,10,"Whether political views influence greed.","That peoples views change when they are subjected to others being unfair.","GRIexpt-2015-05-22-100318","2Dictator","Read","1","2",NA," Mathematics with secondary teaching","United Kingdom","1","1","Next","155.245.28.12","cl-6",NA
1,2,2,1,NA,"1975","female","white","1","-2","0","-2","-1","2","2","2","0","-2",1,"1",0.175829632626846,1,1.17582963262685,1,1.1,1,5.6,5.7,5.7,"prop_3","1","Accepted",NA,NA,NA,NA,NA,NA,NA,NA,6,1,2,37,8,NA,13,NA,NA,"GRIexpt-2015-05-22-100318","2Dictator",NA,"1","2",NA," BSc Psychology","United Kingdom","1","5","Next","155.245.28.9","cl-3",NA
5,2,2,1,NA,"1995","male","white","-2","0","-2","1","-1","2","-1","0","2","1",7,"2",0.329095069179311,7,7.32909506917931,1,1.1,2,6,5,6,"prop_3","1","Accepted",NA,NA,NA,NA,NA,NA,NA,NA,6,1,2,17,5,NA,10,NA,NA,"GRIexpt-2015-05-22-100318","2Dictator",NA,"1","2",NA," BA International Relations ","United Kingdom","1","1","Next","155.245.28.10","cl-4",NA
8,2,2,1,NA,"1959","male","white","2","-2","2","-2","2","0","2","2","1","-1",2,"1",0.0407831016462297,2,2.04078310164623,1,1.1,3,6,6,5,"prop_3","1","Accepted",NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,47,4,NA,9,NA,NA,"GRIexpt-2015-05-22-100318","2Dictator",NA,"0","0",NA," ","United Kingdom","1","3","Next","155.245.28.17","cl-11",NA
4,2,2,1,NA,"1996","female","white","-1","-2","0","-2","-1","2","0","-1","1","0",7,"2",-0.355729136988521,7,6.64427086301148,1,1.2,1,8.5,8.5,0,"prop_3","1","Accepted",NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,18,2.9,NA,7.9,NA,NA,"GRIexpt-2015-05-22-100318","2Dictator",NA,"1","2",NA," Business Management with Modern Languages","Lithuania","1","1","Next","155.245.28.18","cl-12",NA
6,2,2,1,NA,"1992","female","white","-2","-1","1","0","-1","2","1","1","-1","0",8,"2",0.563582800235599,8,8.5635828002356,1,1.2,2,5,7,5,"prop_3","1","Accepted",NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,7,8,NA,13,NA,NA,"GRIexpt-2015-05-22-100318","2Dictator",NA,"1","1",NA," MSc. Cardiac Rehabilitation","Canada","1","3","Next","155.245.28.41","cl-1",NA
7,2,2,1,NA,"1992","female","white","-2","-2","1","1","1","2","2","0","2","2",6,"2",0.612744116876274,6,6.61274411687627,1,1.2,3,5,5,7,"prop_3","1","Accepted",NA,NA,NA,NA,NA,NA,NA,NA,7,1,2,17,5,NA,10,NA,NA,"GRIexpt-2015-05-22-100318","2Dictator",NA,"1","2",NA," Bsc Psychology","Norway","1","10","Next","155.245.28.8","cl-2",NA
