"id","period","userperiod","round","instructions","byear","gender","race","ideo1","ideo2","ideo3","ideo4","ideo5","ideo6","ideo7","ideo8","ideo9","ideo10","sp","ideo_test","noise","ideology","ideology.noise","mg","group","group_id","prop1","prop2","prop3","offer","vote","vote_result","pd1.1","pd1.2","pd1.3","offer_pd1","pd2.1","pd2.2","pd2.3","offer_pd2","earnings","payment","pay_period","select_period","select_earn","payoffdictator","final_earnings","demand","comment","session","treatment","treat_inst","uni","type_student","startyear","degree","nationality","expts","t_expts","moveon","IP","client","seat"
3,1,1,0,NA,"1995","female","white","2","-2","1","0","-2","2","2","2","-2","-2",2,"2",-0.267960483254865,2,1.73203951674514,1,1.1,1,NA,NA,NA,NA,NA,NA,5,6,6,"pd1.2",NA,NA,NA,NA,5.7,1,1,37,5.7,NA,10.7," About taking decisions that involve you and also other people and how you act towards other people.
"," I think it was a bit slow, it would have been better if it didn't take that much time between the periods to give it a bit of emotion and involvement in it","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," INTERNATIONAL RELATIONS AND MODERN LANGUAGES","Spain","1","2","Next","155.245.28.11","cl-5",NA
8,1,1,0,NA,"1996","female","white","1","-1","1","0","-2","2","2","-1","1","0",5,"2",0.389404127653688,5,5.38940412765369,1,1.1,2,NA,NA,NA,NA,NA,NA,5.7,5.6,5.7,"pd1.2",NA,NA,NA,NA,5.6,1,1,12,5.5,NA,10.5," Someone's habits/views on dividing money fairly based on other's political views?"," Slightly tedious, repetitive, obvious that if everyone's fair when dividing more likely to get more money","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," History and Literature","United Kingdom","0","0","Next","155.245.28.9","cl-3",NA
13,1,1,0,NA,"1993","female","white","-2","-2","0","1","-1","2","2","0","-1","1",6,"1",0.413902655709535,6,6.41390265570953,1,1.1,3,NA,NA,NA,NA,NA,NA,3.5,3.5,10,"pd1.2",NA,NA,NA,NA,5.7,1,1,27,5.5,NA,10.5," The experiment was about the link between our political ideas and how much we'd give to those around us in comparison to ourselves"," It was okay, it felt unfair at points because I was always shown as the 'most right wing' on the scale however i only put myself at a 6 - slightly right wing. Many people gave me less because of that, thought I think that it should just be equal no matter what politic really","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," BA History of Art & English Literature ","United Kingdom","0","0","Next","155.245.28.24","cl-18",NA
14,1,1,0,NA,"1995","male","white","0","-1","-1","0","-1","2","2","0","-2","-2",5,"1",-0.252382163377479,5,4.74761783662252,1,1.2,1,NA,NA,NA,NA,NA,NA,5.6,5.6,5.8,"pd1.3",NA,NA,NA,NA,4,1,1,27,5.5,NA,10.5,"In my opinion, it was about how people with different political views can find a deal that suits everyone of them personally","The experiment was good and very interesting too","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," International Relations","Lithuania","1","2","Next","155.245.28.8","cl-2",NA
15,1,1,0,NA,"1994","male","black","-2","-2","1","-1","0","-1","2","0","1","-1",4,"2",-0.352843388728797,4,3.6471566112712,1,1.2,2,NA,NA,NA,NA,NA,NA,5.7,5.8,5.5,"pd1.3",NA,NA,NA,NA,4,1,1,42,5.7,NA,10.7," Peoples attitudes towards wealth equality in regards to political preferences and race."," It was a very interesting and insightful test.","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," Economics & Politics ","United Kingdom","1","3","Next","155.245.28.14","cl-8",NA
16,1,1,0,NA,"1994","male","white","-2","-1","1","0","-1","2","2","0","0","-1",4,"0",-0.185829386580735,4,3.81417061341926,1,1.2,3,NA,NA,NA,NA,NA,NA,4,4,9,"pd1.3",NA,NA,NA,NA,9,1,1,17,6,NA,11,"I think the experiment was about how far people are willing to go in order to be a part of a group. Once a person was close to another person in political views","I enjoyed this experiment, it was simple to understand, and was also quite interesting to see how people divided money into 3 when they had the information about a persons political views. Once a person was closer to another person in the graph that was displayed, the pattern that I noticed was that when one had to choose who would get the extra few pennies, one would choose the person that had the closest political views as yourself.  ","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," Computer Games","Norway","1","1","Next","155.245.28.18","cl-12",NA
2,1,1,0,NA,"1995","female","white","-1","0","1","-1","-1","2","2","0","-1","0",3,"1",0.345800660690293,3,3.34580066069029,2,2.1,1,NA,NA,NA,NA,NA,NA,5,6,6,"pd1.2",NA,NA,NA,NA,0,1,1,17,5,NA,10," If one person is influenced by the race and political views of another in distributing out wealth."," I hope no one was influenced by such factors in sharing the money, makes me quite uncomfortable.","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," LLB French and English Law","France","1","4","Next","155.245.28.20","cl-14",NA
5,1,1,0,NA,"1994","female","white","-1","-2","-1","1","2","2","2","-1","1","0",8,"2",-0.515634592017159,8,7.48436540798284,2,2.1,2,NA,NA,NA,NA,NA,NA,0,17,0,"pd1.2",NA,NA,NA,NA,17,1,1,32,5.6,NA,10.6," Whether individuals who are more left are more likely to distribute money equally and whether race and gender had any influence. So controlling for, gender, ethnicity and political sway.","Good, though it took a long time for some people to answer.","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," BSc Psychology","United Kingdom","1","50","Next","155.245.28.10","cl-4",NA
12,1,1,0,NA,"1996","male","white","1","-2","2","-2","-2","2","2","2","-1","-1",2,"1",0.188330396264791,2,2.18833039626479,2,2.1,3,NA,NA,NA,NA,NA,NA,5.6,5.8,5.6,"pd1.2",NA,NA,NA,NA,0,1,1,37,5,NA,10," I believed the purpose of the experiment was to determine how political alignment (and through that economic viewpoint) affected your choice of division of money, and how your perception of others political/economic views had an effect on that decision.   ","Good experiment, as it provided a clearer understanding (in my own eyes) of how political views seem to affect economic standpoints.","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," History","United Kingdom","0","0","Next","155.245.28.19","cl-13",NA
4,1,1,0,NA,"1996","male","white","0","-2","0","-1","-2","1","2","1","1","-1",4,"2",-0.467705469904467,4,3.53229453009553,2,2.2,1,NA,NA,NA,NA,NA,NA,7,5,5,"pd1.1",NA,NA,NA,NA,7,1,1,37,5,NA,10,"How people divide money and how they perceive race/gender and political orientation"," Very well structured and provided a variety of different situations","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," Computer Science","United Kingdom","1","1","Next","155.245.28.22","cl-16",NA
7,1,1,0,NA,"1994","female","white","1","-1","0","-2","-2","2","1","0","-1","0",5,"1",0.137470566807315,5,5.13747056680731,2,2.2,2,NA,NA,NA,NA,NA,NA,5.7,5.7,5.6,"pd1.1",NA,NA,NA,NA,5,1,1,2,5.6,NA,10.6," How much money you are willing to split with someone based on their race, gender (from the avatar) and general political standpoint (from the slider)."," It was a good experiment, if a little confusing at first. I enjoyed participating.","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," BSc Biochemistry with Industrial Placement","United Kingdom","1","10","Next","155.245.28.15","cl-9",NA
17,1,1,0,NA,"1993","female","brown","-2","-2","0","2","-1","2","1","2","-1","0",5,"2",-0.00353712448850274,5,4.9964628755115,2,2.2,3,NA,NA,NA,NA,NA,NA,5,6,6,"pd1.1",NA,NA,NA,NA,5,1,1,2,7,NA,12,"Fairness, racism, sexism.
How ethnicity and gender influences one's decision.
The allocation of money represents one's view and values on other people."," Interesting","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," BA Linguistics","United Kingdom","1","1","Next","155.245.28.41","cl-1",NA
6,1,1,0,NA,"1995","female","white","-2","0","0","0","0","2","2","0","0","0",5,"-2",-0.491604119958356,5,4.50839588004164,3,3.1,1,NA,NA,NA,NA,NA,NA,17,0,0,"pd1.3",NA,NA,NA,NA,5.5,1,1,42,6,NA,11," Democracy in regulating greed and a hint of is there a political/racial bias even there"," It was fun. There is a difference between brute logic, and human logic which contains psychological, social, etc. biases. I like computers better.","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," French and English Law","France","0","0","Next","155.245.28.13","cl-7",NA
10,1,1,0,NA,"1991","male","white","0","-2","1","0","-1","2","1","0","1","0",5,"2",-0.00375762959010895,5,4.99624237040989,3,3.1,2,NA,NA,NA,NA,NA,NA,3,7,7,"pd1.3",NA,NA,NA,NA,5.5,1,1,1,5.5,NA,10.5,"how people's decisions are affected by political ideologies, by gender and ethnicity "," ","GRIexpt-2015-05-22-125920","2Dictator","Read","1","1",NA," management","Cyprus","1","1","Next","155.245.28.21","cl-15",NA
18,1,1,0,NA,"1995","female","brown","-1","0","0","-1","-1","1","1","1","1","0",5,"1",-0.480232763336971,5,4.51976723666303,3,3.1,3,NA,NA,NA,NA,NA,NA,5.5,5.5,6,"pd1.3",NA,NA,NA,NA,6,1,1,47,6,NA,11,"How would peoples decisions affect yours and vice versa."," interesting at how some people would choose to only maximise their own winnings but others divided it near enough equally to ensure that other people will accept the offer","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," Bsc Economics","United Kingdom","1","1","Next","155.245.28.12","cl-6",NA
1,1,1,0,NA,"1994","male","white","1","-2","1","-1","-2","2","1","1","1","-2",4,"1",0.68845809600316,4,4.68845809600316,3,3.2,1,NA,NA,NA,NA,NA,NA,5.7,5.7,5.6,"pd1.3",NA,NA,NA,NA,5.7,1,1,27,5.2,NA,10.2," Odds and Chances. Essentially finding out whether greed overcame common sense when it came to money. If people chose to heavily prioritise their own 'slice of the pie' then chances are it would be rejected, meaning that the overall amount for everyone, including themselves, would be much less."," Fairly fun, was interesting to see if greed overcame common sense. It's a shame it took some people so long to continue everytime.
","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," Modern History","United Kingdom","0","0","Next","155.245.28.23","cl-17",NA
9,1,1,0,NA,"1993","female","white","-1","-2","1","-1","-1","2","0","1","1","1",3,"2",-0.640520089445636,3,2.35947991055436,3,3.2,2,NA,NA,NA,NA,NA,NA,6,6,5,"pd1.3",NA,NA,NA,NA,5.7,1,1,47,6.1,NA,11.1," the experiment was about understanding how people think when they are asked to divide money between groups and if how the result(money) affect the decisions we take"," It was quite easy, and a bit tricky as i was trying to make the correct decision of the how the amount was divided","GRIexpt-2015-05-22-125920","2Dictator","Read","1","2",NA," Language and Linguistics","Cyprus","0","0","Next","155.245.28.17","cl-11",NA
