"id","period","userperiod","round","instructions","byear","gender","race","ideo1","ideo2","ideo3","ideo4","ideo5","ideo6","ideo7","ideo8","ideo9","ideo10","sp","ideo_test","noise","ideology","ideology.noise","mg","group","group_id","prop1","prop2","prop3","offer","vote","vote_result","pd1","pd2","pd3","earnings","payment","pay_period","select_period","select_earn","payoffdictator","final_earnings","demand","comment","session","treatment","treat_inst","uni","type_student","startyear","degree","nationality","expts","t_expts","moveon","IP","client","seat"
3,1,0,0,NA,"1994","female","black","1","-1","-2","-1","0","1","2","2","-1","-1",7,"0",-0.214814276993275,7,6.78518572300672,1,1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,7,1.5,11," How money affects how people treat each other?"," It was okay but annoyingly long","GRIexpt-2015-02-25-123025","GRI","Read","1","2",NA," Accounting and Finance","United Kingdom","0","0",NA,"155.245.28.16","cl-10",NA
6,1,0,0,NA,"1994","female","white","-1","-1","-2","-1","1","2","2","1","-2","-1",6,"1",0.465175954438746,6,6.46517595443875,1,1.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,3.7,13.2," Gathering information about how individuals react towards making instant decisions without any prior information. "," It is a valuable experience in terms of knowing my own reactions when being introduced to such environment. ","GRIexpt-2015-02-25-123025","GRI","Read","1","2",NA," Accounting and Finance","Albania ","1","2",NA,"155.245.28.8","cl-2",NA
16,1,0,0,NA,"1995","male","black","1","-1","1","-1","-2","2","1","2","1","2",3,"0",-0.411706599639729,3,2.58829340036027,1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,7.5,2.6,12.6," The experiment was about equality. I think it was to do with how our political views influence our decision making. "," I enjoyed the experiment as I felt it engaged and encouraged me to approach to it from a tactical viewpoint. ","GRIexpt-2015-02-25-123025","GRI","Read","1","2",NA," Financial Economics","United Kingdom","0","0",NA,"155.245.28.10","cl-4",NA
2,1,0,0,NA,"1996","female","white","-1","-2","0","-1","-2","2","2","-1","0","1",4,"-2",-0.031423780368641,4,3.96857621963136,1,1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,5.5,3,11," I believe it was about the economic behaviour of people according to their ethnicity."," It was interesting although a bit long","GRIexpt-2015-02-25-123025","GRI","Read","1","2",NA," LLB French and English Law","France","1","2",NA,"155.245.28.21","cl-15",NA
15,1,0,0,NA,"1993","female","brown","1","-2","0","-1","-1","2","2","1","1","-1",5,"-1",0.24715809840709,5,5.24715809840709,1,1.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,6.5,4.5,13.5,"Politics? How different race and political status affect economic status?"," Interesting, but would be nice to know the purpose of it","GRIexpt-2015-02-25-123025","GRI","Read","1","2",NA," Management and Marketing","United Kingdom","1","3",NA,"155.245.28.15","cl-9",NA
18,1,0,0,NA,"1994","female","black","2","-2","0","0","0","0","2","2","2","-1",5,"-2",-0.0670499200932682,5,4.93295007990673,1,1.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,6,2.7,11.2,"It was to see who I would give more or less money to based on their gender and ethnicity based on my political views of their social standing from my political standpoint."," It was quite long.","GRIexpt-2015-02-25-123025","GRI","Read","1","2",NA," Sociology","Jamaica","1","1",NA,"155.245.28.25","Cl-19",NA
7,1,0,0,NA,"1995","female","black","1","-1","-1","0","-2","-2","-2","1","1","0",3,"-2",-0.481216493621469,3,2.51878350637853,2,2.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5.9,1,9.4," How rational decisions are made and whether the amount given to each person affected their decisions in anyway. 
This may be due to either happiness for getting a larger share, or annoyance for getting the least or nothing between the three people. "," This experiment was alright. Its however, the waiting interval that seemed to have dragged for a bit (when the computer was generating random numbers). This may have affected the Peoples thoughts and even end up somehow losing interest in the fun that there is in distributing money like that. ","GRIexpt-2015-02-25-123025","GRI","Read","1","2",NA," BSc Biomedical Science","United Kingdom","1","2",NA,"155.245.28.18","cl-12",NA
11,1,0,0,NA,"1995","male","white","-1","1","0","-1","1","0","-1","0","1","0",8,"1",0.453478651214391,8,8.45347865121439,2,2.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,1,11.5," good"," good","GRIexpt-2015-02-25-123025","GRI","Read","1","2",NA,"PSYCHOLOGY","United Kingdom","1","2",NA,"155.245.28.20","cl-14",NA
17,1,0,0,NA,"1995","male","black","2","-2","2","-2","1","0","2","1","1","-2",3,"0",-0.616830097371712,3,2.38316990262829,2,2.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,5.4,4,11.9," Whether you support your original statement of being left/right wing. Whether race and political stance has an effect on how you would share the money","I enjoyed it very much. I am very interested in further research into the social sciences and would like to take it up as a career. ","GRIexpt-2015-02-25-123025","GRI","Read","1","2",NA," Economics","United Kingdom","1","4",NA,"155.245.28.9","cl-3",NA
1,1,0,0,NA,"1996","female","white","0","-1","2","-1","1","1","2","0","1","-1",6,"0",-0.638908369466662,6,5.36109163053334,2,2.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5.5,4,12," Whether to accept the first amount offered to you, or risk getting less by going to round 2 and so on.","unfair and it showed how money is more important to some people than to others.","GRIexpt-2015-02-25-123025","GRI","Read","1","2",NA," Business Management","United Kingdom","0","0",NA,"155.245.28.22","cl-16",NA
