"id","period","userperiod","round","instructions","byear","gender","race","ideo1","ideo2","ideo3","ideo4","ideo5","ideo6","ideo7","ideo8","ideo9","ideo10","sp","ideo_test","noise","ideology","ideology.noise","mg","group","group_id","prop1","prop2","prop3","offer","vote","vote_result","pd1","pd2","pd3","earnings","payment","pay_period","select_period","select_earn","payoffdictator","final_earnings","demand","comment","session","treatment","treat_inst","uni","type_student","startyear","degree","nationality","expts","t_expts","moveon","IP","client","seat"
12,1,0,0,NA,"1996","female","white","-2","-2","-1","0","0","2","2","1","0","1",4,"0",0.227522442024201,4,4.2275224420242,1,1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,7,4,13.5," fairness in decision making"," everyone is selfish","GRIexpt-2015-02-25-141544","GRI","Read","1","2",NA," Law","France","1","2",NA,"155.245.28.24","cl-18",NA
13,1,0,0,NA,"1995","male","white","-1","-2","1","1","-2","1","0","2","-1","-2",2,"0",0.183238833257928,2,2.18323883325793,1,1.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,9,1,12.5," Generosity and equity of people on the base of their political ideas and the way they define themselves."," It is difficult to be honest and and balanced at all time. You often get annoyed by other people inequity and as well political ideas of other people tend me to influence me quite much.I tend to share and being more generous with people with ideas more similar to mine. Race as well plays a role: I tend to be more generous and ""equal"" with black people. The last bit was the only one where I really felt in duty of being equos in the division of the 3 pounds.","GRIexpt-2015-02-25-141544","GRI","Read","1","2",NA," BA DRAMA","Italy","0","0",NA,"155.245.28.19","cl-13",NA
17,1,0,0,NA,"1994","female","white","1","0","-1","0","-2","2","2","1","-1","1",6,"0",0.201861251238734,6,6.20186125123873,1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,2,4,8.5,"Knowing how each participant would want to split the money, unconsciously taking into account the gender, origin and political view of the two others. I say unconsciously because it does not really matter, but you still peak at these info to know how to share the money, to be able to gain more with one other participant and sacrificing the last one ","","GRIexpt-2015-02-25-141544","GRI","Read","1","2",NA,"Humanities","France","1","2",NA,"155.245.28.10","cl-4",NA
3,1,0,0,NA,"1993","female","white","-2","-2","1","0","-2","2","2","2","-1","0",3,"0",0.572068239748478,3,3.57206823974848,1,1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2,3,7.5," I think this experiment was about making financial decisions in a certain situation"," I think it was a very interesting experiment that aims to understand how people make decisions and why","GRIexpt-2015-02-25-141544","GRI","Read","1","0",NA," Language and Linguistics","Italy","1","7",NA,"155.245.28.12","cl-6",NA
14,1,0,0,NA,"1995","female","brown","1","-2","0","-1","-1","2","1","1","0","-1",5,"0",-0.624654141208157,5,4.37534585879184,1,1.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2,4.5,9," Seeing whether which political party you and the other group members supported influenced how much money you gave them"," ","GRIexpt-2015-02-25-141544","GRI","Read","1","2",NA," psychology","United Kingdom","1","2",NA,"155.245.28.14","cl-8",NA
16,1,0,0,NA,"1992","female","brown","0","-1","0","1","-2","2","2","1","-2","2",2,"0",-0.013070787023753,2,1.98692921297625,1,1.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2,1.5,6," how we share things according to people being like-minded."," took too long","GRIexpt-2015-02-25-141544","GRI","Read","1","2",NA," Drama & Modern Languages","Italy","0","1",NA,"155.245.28.16","cl-10",NA
5,1,0,0,NA,"1995","female","white","1","-1","1","-1","-1","2","2","1","1","0",5,"0",-0.0710211332887412,5,4.92897886671126,2,2.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,9.5,"Whether people would favor giving money to people of the same sex, the opposite sex, the same ethnic group, a different ethnic group, similar political views or different political views. Also whether the person would be selfish or share the money out more fairly between participants.","It was good, other than I was not sure what the right or left party was.","GRIexpt-2015-02-25-141544","GRI","Read","1","2",NA," Biological Sciences","United Kingdom","0","0",NA,"155.245.28.17","cl-11",NA
6,1,0,0,NA,"1993","female","black","-1","-1","0","-1","-1","-2","-1","-2","0","0",5,"1",0.204072439810261,5,5.20407243981026,2,2.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,5.7,2,10.2," Political attitudes and human behavior."," A bit unfair in terms of determining how much money participants received, and the pauses in between were too long but overall okay.","GRIexpt-2015-02-25-141544","GRI","Read","1","2",NA," BA Liberal Arts","United Kingdom","1","2",NA,"155.245.28.22","cl-16",NA
11,1,0,0,NA,"1996","female","white","0","-1","1","-1","-1","1","2","1","1","0",5,"0",-0.252121328189969,5,4.74787867181003,2,2.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,3.1,2,7.6," How people make decisions in different situations/how different people's morals effect the decisions they make."," Alright, very boring waiting for everyone else to decide.","GRIexpt-2015-02-25-141544","GRI","Read","1","2",NA," BA Film Studies","United Kingdom","1","3",NA,"155.245.28.9","cl-3",NA
4,1,0,0,NA,"1996","female","black","0","-1","0","-1","1","-2","1","2","0","1",5,"0",-0.363873554766178,5,4.63612644523382,2,2.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,10,4,16.5," I think the experiment was about voting and the way in which people decide to vote for certain parties"," I think it was a simple experiment which was fairly easy ","GRIexpt-2015-02-25-141544","GRI","Read","1","2",NA," Psychology","United Kingdom","1","3",NA,"155.245.28.23","cl-17",NA
