"id","period","userperiod","round","instructions","byear","gender","race","ideo1","ideo2","ideo3","ideo4","ideo5","ideo6","ideo7","ideo8","ideo9","ideo10","sp","ideo_test","noise","ideology","ideology.noise","mg","group","group_id","prop1","prop2","prop3","offer","vote","vote_result","pd1","pd2","pd3","earnings","payment","pay_period","select_period","select_earn","payoffdictator","final_earnings","demand","comment","session","treatment","treat_inst","uni","type_student","startyear","degree","nationality","expts","t_expts","moveon","IP","client","seat"
3,1,0,0,NA,"1995","female","white",-1,1,-2,1,-2,-1,1,-2,1,-2,7,"-2",-0.192320939619094,7,6.80767906038091,1,1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,0,2,4.5," How fairly you divide money against different people"," It was a hard experiment in gaining a profit, because all participants want to gain more and always one participant gets unfair payment.","GRIexpt-2014-12-02-145238","Control",NA,"1","2",NA," BSc Finance","Lithuania","1","2",NA,"155.245.28.15","cl-9",NA
6,1,0,0,NA,"1993","female","white",2,1,-2,2,-2,2,1,-2,2,-2,3,"0",-0.0820185557473451,3,2.91798144425265,1,1.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,7.5,3,13,"group decisions"," ","GRIexpt-2014-12-02-145238","Control",NA,"1","2",NA," BA Politics","Italy","1","3",NA,"155.245.28.8","cl-2",NA
14,1,0,0,NA,"1992","female","white",1,1,-2,2,-1,1,1,-2,2,-1,2,"-2",-0.133014089148492,2,1.86698591085151,1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,9,3,14.5," Whether people who identified with left-wing political views would allocate money ""fairly"" or not."," ","GRIexpt-2014-12-02-145238","Control",NA,"1","1",NA,"Tropical Marine Biology","United Kingdom","1","3",NA,"155.245.28.41","cl-1",NA
4,1,0,0,NA,"1991","female","white",0,-1,-2,1,0,0,-1,-2,1,0,7,"0",-0.213764918781817,7,6.78623508121818,1,1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0,4,6.5," To see how sustainable could be cooperation. In this experiment, however, everyone is induce to maximize his own actual utility."," ","GRIexpt-2014-12-02-145238","Control",NA,"1","1",NA," Economics and Social Sciences","Italy","1","6",NA,"155.245.28.12","cl-6",NA
7,1,0,0,NA,"1994","female","white",-2,-1,-2,2,0,-2,-1,-2,2,0,5,"2",-0.190899895364419,5,4.80910010463558,1,1.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4.8,3,10.3," Division between poor and rich people, and even though you have certain beliefes almost everyone always wants to make him- or herself rich.","It was okay, a bit slow sometimes.  ","GRIexpt-2014-12-02-145238","Control",NA,"1","2",NA," Econometrics and Operational Research","Netherlands","1","1",NA,"155.245.28.14","cl-8",NA
13,1,0,0,NA,"1995","male","white",-1,0,2,-1,2,-1,0,2,-1,2,8,"0",0.114090604986995,8,8.11409060498699,1,1.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,9,3,14.5,"About either trying to reach the highest sum for yourself or trying to divide it equally between the three participants.

","Interesting experiment as it shows pretty well that we prefer keeping the maximum of the money personnally even though one of the participants was affected","GRIexpt-2014-12-02-145238","Control",NA,"1","2",NA," Law","France","0","0",NA,"155.245.28.16","cl-10",NA
1,1,0,0,NA,"1992","female","white",1,2,0,0,-1,1,2,0,0,-1,3,"0",0.0983946246095002,3,3.0983946246095,2,2.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,9.5,3,15,"The experiment was about seeing how people act and treat others when they have a certain amount of power (in this case indicated by money and by the fact that the can not be traced back or identified and that every time the people you relate with change). Also, the experiment was about seeing how a person that defines herself being ""left"" or ""right"" politically speaking acts when she has the concrete power to make thing go how she wants.","The mechanism was easy to understand this time, you just needed to give a reasonable amount of money from the 17<a3> to one of the others in your group and since you just needed two people to accept the offer was pretty clear that things were going to go as you wanted if your proposal had been selected.","GRIexpt-2014-12-02-145238","Control",NA,"1","2",NA," Language and Linguistics","Italy","1","6",NA,"155.245.28.24","cl-18",NA
5,1,0,0,NA,"1993","female","black",-1,0,1,1,-2,-1,0,1,1,-2,5,"0",-0.199384136823937,5,4.80061586317606,2,2.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,8,3,13.5," decision making"," it was good","GRIexpt-2014-12-02-145238","Control",NA,"1","2",NA," Banking and Finance","Netherlands","1","4",NA,"155.245.28.17","cl-11",NA
15,1,0,0,NA,"1993","female","white",0,0,-1,1,-2,0,0,-1,1,-2,1,"-2",0.246093408716843,1,1.24609340871684,2,2.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,3.9,3,9.4," In my opinion the experiment was about making financial decisions in different situations"," I think this experiment could be very helpful for those who carry out studies about this kind of things","GRIexpt-2014-12-02-145238","Control",NA,"1","2",NA," Language and linguistics","Italy","1","4",NA,"155.245.28.13","cl-7",NA
10,1,0,0,NA,"1994","male","black",2,-1,2,2,2,2,-1,2,2,2,8,"0",-0.293972732685506,8,7.70602726731449,2,2.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1.7,9.2,"About decision-making, kindness and selfishness."," I thought it was well structured and enjoyable.","GRIexpt-2014-12-02-145238","Control",NA,"1","2",NA," Law","United Kingdom","0","0",NA,"155.245.28.22","cl-16",NA
